cnt,Scenario 
105.6705671,Scenario B (Beta = 1.76)
8.178438662,Scenario B (Beta = 1.76)
101.4577259,Scenario B (Beta = 1.76)
56.36363636,Scenario B (Beta = 1.76)
125.1937984,Scenario B (Beta = 1.76)
38.82149047,Scenario B (Beta = 1.76)
95.32374101,Scenario B (Beta = 1.76)
38.36477987,Scenario B (Beta = 1.76)
68.48484848,Scenario B (Beta = 1.76)
27.69953052,Scenario B (Beta = 1.76)
63.83989145,Scenario B (Beta = 1.76)
61.80967239,Scenario B (Beta = 1.76)
123.9583333,Scenario B (Beta = 1.76)
112.5890736,Scenario B (Beta = 1.76)
31.38686131,Scenario B (Beta = 1.76)
47.0212766,Scenario B (Beta = 1.76)
132.7361564,Scenario B (Beta = 1.76)
41.15384615,Scenario B (Beta = 1.76)
41.35802469,Scenario B (Beta = 1.76)
77.5,Scenario B (Beta = 1.76)
55.72105619,Scenario B (Beta = 1.76)
35.65505804,Scenario B (Beta = 1.76)
80.10657194,Scenario B (Beta = 1.76)
62.99212598,Scenario B (Beta = 1.76)
63.77118644,Scenario B (Beta = 1.76)
25.44247788,Scenario B (Beta = 1.76)
64.30921053,Scenario B (Beta = 1.76)
91.81946403,Scenario B (Beta = 1.76)
62.11498973,Scenario B (Beta = 1.76)
70.92696629,Scenario B (Beta = 1.76)
52.55681818,Scenario B (Beta = 1.76)
134.5309381,Scenario B (Beta = 1.76)
143.5897436,Scenario B (Beta = 1.76)
112.0038722,Scenario B (Beta = 1.76)
45.65656566,Scenario B (Beta = 1.76)
22.87234043,Scenario B (Beta = 1.76)
122.7891156,Scenario B (Beta = 1.76)
150.3703704,Scenario B (Beta = 1.76)
54.03508772,Scenario B (Beta = 1.76)
40.71428571,Scenario B (Beta = 1.76)
89.10891089,Scenario B (Beta = 1.76)
127.744511,Scenario B (Beta = 1.76)
151.010101,Scenario B (Beta = 1.76)
89.74358974,Scenario B (Beta = 1.76)
39.77055449,Scenario B (Beta = 1.76)
174.0740741,Scenario B (Beta = 1.76)
103.7735849,Scenario B (Beta = 1.76)
73.25,Scenario B (Beta = 1.76)
36.30952381,Scenario B (Beta = 1.76)
79.67914439,Scenario B (Beta = 1.76)
80.01355014,Scenario B (Beta = 1.76)
49.40239044,Scenario B (Beta = 1.76)
72.99703264,Scenario B (Beta = 1.76)
147.9166667,Scenario B (Beta = 1.76)
152.6501767,Scenario B (Beta = 1.76)
63.22869955,Scenario B (Beta = 1.76)
60.5,Scenario B (Beta = 1.76)
127.7461351,Scenario B (Beta = 1.76)
183.3333333,Scenario B (Beta = 1.76)
56.81818182,Scenario B (Beta = 1.76)
101.532567,Scenario B (Beta = 1.76)
149.4661922,Scenario B (Beta = 1.76)
137.6681614,Scenario B (Beta = 1.76)
187.6404494,Scenario B (Beta = 1.76)
149.6644295,Scenario B (Beta = 1.76)
184.7058824,Scenario B (Beta = 1.76)
97.14285714,Scenario B (Beta = 1.76)
150.7331378,Scenario B (Beta = 1.76)
46.42857143,Scenario B (Beta = 1.76)
144.4444444,Scenario B (Beta = 1.76)
155.0724638,Scenario B (Beta = 1.76)
109.5057034,Scenario B (Beta = 1.76)
153.7313433,Scenario B (Beta = 1.76)
203.8387716,Scenario B (Beta = 1.76)
109.5238095,Scenario B (Beta = 1.76)
130.1886792,Scenario B (Beta = 1.76)
194.6428571,Scenario B (Beta = 1.76)
257.0621469,Scenario B (Beta = 1.76)
373.1343284,Scenario B (Beta = 1.76)
489.5910781,Scenario B (Beta = 1.76)
-73.79868488,Scenario B (Beta = 2.63)
-73.2404516,Scenario B (Beta = 2.63)
-68.08721506,Scenario B (Beta = 2.63)
-64.08163265,Scenario B (Beta = 2.63)
-58.44134125,Scenario B (Beta = 2.63)
-56.8464467,Scenario B (Beta = 2.63)
-56.3291966,Scenario B (Beta = 2.63)
-56.27381255,Scenario B (Beta = 2.63)
-54.27499564,Scenario B (Beta = 2.63)
-53.15009265,Scenario B (Beta = 2.63)
-52.81040268,Scenario B (Beta = 2.63)
-51.94112628,Scenario B (Beta = 2.63)
-50.52539405,Scenario B (Beta = 2.63)
-50.05429619,Scenario B (Beta = 2.63)
-49.13793103,Scenario B (Beta = 2.63)
-48.95424837,Scenario B (Beta = 2.63)
-48.69713798,Scenario B (Beta = 2.63)
-48.15229563,Scenario B (Beta = 2.63)
